COLaF ID and link	Title	Year	Original Search term	Link	Author	Genre	Character	Target_region	Lang	Metalang	Source	Transcribed	TEI	Added to corpus?
MOL_MAU_001	Le duel singulier	1800		https://www.google.fr/books/edition/Le_duel_singulier_com%C3%A9die_en_un_acte_et/WIf8TGD9F_UC?hl=en&gbpv=1&dq=%22li+va%22+moi&pg=PA15&printsec=frontcover	Dorvigny	drama	Strafford, Jacques, Fijeac	Boston, Mauritius, Gascony	fra-ang, mau, fra-gsc	met-fr	Google Books	yes	yes	yes
MOL_LOU_007	Di tems Missié D'artaguette	1815 (1851)	la yé	https://www.google.fr/books/edition/Louisiana/MJUpAAAAYAAJ?hl=en&gbpv=1&dq=%22y%C3%A9%22+louisiane&pg=PA532&printsec=frontcover	Gayarré	lyrics	n/a	Louisiana	lou	eng	Google Books	yes	yes	yes
MOL_RCF_002	Fables créoles	1828 (1883)		https://fr.wikisource.org/wiki/Fables_cr%C3%A9oles	Héry	poetry	n/a	Réunion	rcf	met-fr	Wikisource_corrected	yes	yes	yes
MOL_LOU_004	L'amour d'un nègre	1836 (1860)	"li" "té" "yé" vous	https://www.google.fr/books/edition/L_amour_d_un_N%C3%A8gre/CKSWUG4ujhoC?hl=en&gbpv=1&dq=%22li%22+%22t%C3%A9%22+%22y%C3%A9%22+vous&pg=PA227&printsec=frontcover	Jobey	prose-novel	n/a	Louisiana	lou	met-fr	Google Books	yes	yes	yes
MOL_LOU_005	L'amour d'une blanche	1837 (1861)	"li" "té" "yé" vous	https://www.google.fr/books/edition/L_amour_d_une_blanche/7-s5AAAAcAAJ?hl=en&gbpv=1&dq=%22li%22+%22t%C3%A9%22+%22y%C3%A9%22+vous&pg=PA261&printsec=frontcover	Jobey	prose-novel	n/a	Louisiana	lou	met-fr	Google Books	yes	yes	yes
MOL_LOU_002	Une de perdue, deux de trouvées, TOME II	1838 (1874)		https://fr.wikisource.org/wiki/Une_de_perdue,_deux_de_trouv%C3%A9es/Tome_II	Boucherville	prose-novel	Trim, Trim's aunt	Louisiana	lou	met-fr	Wikisource	yes	yes	yes
MOL_LOU_003	Une de perdue, deux de trouvées, TOME I	1839 (1874)	"conné" li	https://fr.wikisource.org/wiki/Une_de_perdue%2C_deux_de_trouv%C3%A9es/Tome_I	Boucherville	prose-novel	Trim, Trim's aunt	Louisiana	lou	met-fr	Wikisource	yes	yes	yes
MOL_LOU_001	La Cigale et la Fourmi	1846	"layé" moi li	https://www.google.fr/books/edition/Revue_Louisianaise/KdAqRw20ZzcC?hl=en&gbpv=1&dq=%22lay%C3%A9%22+moi+li&pg=PA538&printsec=frontcover		poetry	n/a	Louisiana	lou	met-fr	Google Books	yes	yes	yes
MOL_LOU_008	L'autre monde	1855	"conné" li	https://www.google.fr/books/edition/L_autre_monde/qZfECMqlKE0C?hl=en&gbpv=1&dq=%22conn%C3%A9%22+li&pg=PA68&printsec=frontcover	Grandfort	press	n/a	Louisiana	lou	met-fr	Google Books	yes	yes	yes
MOL_LOU_005	L'Habitation Saint-Ybars	1851~1870 (1881)		https://fr.wikisource.org/wiki/L%E2%80%99Habitation_Saint-Ybars	Mercier	prose-novel	various	Louisiana	lou	met-fr	Wikisource	yes	yes	yes
MOL_GCR_001	Atipa	1885		https://fr.wikisource.org/wiki/Atipa	Parépou	prose-novel	n/a	French Guiana	gcr	gcr	Wikisource	yes	yes	yes
MOL_LOU_010	Louisiana Folktales	1895		https://huggingface.co/datasets/jhu-clsp/kreyol-mt/viewer/lou-eng	Fortier	prose-short-stories	n/a	Louisiana	lou	eng	Kreyòl-MT	yes	yes	yes
MOL_NLD_001	Poutche	1924		https://gallica.bnf.fr/ark:/12148/bpt6k2392049f/f3.item.r=mo.zoom#	Watteuw	poetry	n/a	Tourcoing	fra-nld	met-fr	Gallica	yes	yes	yes
